Code,Cost,Full Name,Contents,Type
ANE01,$34.00,ANAEMIA PROFILE 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Reticulocyte Count",Profile
ANE02,$60.00,ANAEMIA PROFILE 02,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Reticulocyte Count
Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin",Profile
ANE04,$55.00,ANAEMIA PROFILE 04,"Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin",Profile
ANE05,$45.00,ANAEMIA PROFILE 05,"Folic Acid
Vitamin B12",Profile
ANE06,$67.00,ANAEMIA PROFILE 06,"Ferritin
Folic Acid
Vitamin B12",Profile
ANE07,$88.00,ANAEMIA PROFILE 07,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin
Folic Acid
Vitamin B12",Profile
ANE13,$95.00,ANAEMIA PROFILE 13,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Reticulocyte Count
Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin
Folic Acid
Vitamin B12",Profile
ANE14,$115.00,ANAEMIA PROFILE 14,"Reticulocyte Count
Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin
Hb Electrophoresis
Folic Acid
Vitamin B12",Profile
TH02,$65.00,THALASSEMIA SCREEN 02,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Ferritin
Hb Electrophoresis",Profile
TH04,$105.00,THALASSEMIA SCREEN 04,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Iron
Total Iron Binding Capacity (TIBC)
% Iron Saturation
Transferrin
Ferritin
Hb Electrophoresis",Profile
TH05,$97.00,THALASSEMIA SCREEN 05,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Ferritin
Folic Acid
Vitamin B12
Hb Electrophoresis",Profile
ECZEMA,$507.00,Eczema Panel (11),"Blomia Tropicalis D201
Cat Dander E1
Chicken F83
Cow's Milk F2
Dog Dander E5
D. Farinae D2
D. Pteronyssinus D1
Egg White F1
Peanut F13
Soya Bean F14
Wheat F4",Profile
ASTHMA,$441.00,Asthma Panel (11),"Chicken F83
Cow's Milk F2
Egg White F1
Peanut F13
Soya Bean F14
Wheat F4",Profile
GASTRO,$331.00,Gastro Panel (6),"Chicken F83
Cow's Milk F2
Egg White F1
Peanut F13
Soya Bean F14
Wheat F4",Profile
ANIMAL1,$340.00,Animal Dander EX1,"Cat Dander E1
Dog Dander E5
Guinea Pig Epithelium E6
Rat Epithelium, Serum & Urine Proteins E87
Mouse Epithelium, Serum & Urine Proteins E88",Profile
INHALE1,$595.00,Inhalant Panel 1 - Dust/Mites/Epidermals/Pollen (15),"Alternaria Alternata M6
Aspergillus Fumigatus M3
Bahia Grass G17
Bermuda Grass G2
Blomia Tropicalis D201
Cat Dander E1
Cockroach, German I6
Common Ragweed W1
Curvularia Lunata M16
D. Farinae D2
D. Pteronyssinus D1
Dog Dander E5
Dust - Greer H1
Johnson Grass G10
Timothy Grass G6",Profile
INHALE2,$266.00,Inhalant Panel 2 - Molds & Yeasts (5),"Alternaria Alternata M6
Aspergillus Fumigatus M3
Candida Albicans M5
Cladosporium Herbarum M2
Penicillium Notatum M1",Profile
NUTS,$430.00,Food 3 - Nuts (8),"Almond F20
Brazil Nut F18
Hazel Nut F17
Macadamia Nut F345
Peanut F13
Pine Nut F253
Pistachio F203
Walnut F256",Profile
SEAFOOD1,$382.00,Food Panel (8),"Anchovies (Ikan Bilis) F313
Clam F207
Crab F23
Fish (Cod) F3
Salmon F41
Shrimp F24
Squid F258
Tuna F40",Profile
SEAFOOD2,$397.00,Food Panel - Shellfish (8),"Blue Mussel F37
Clam F207
Crab F23
Lobster F80
Oyster F290
Scallop F338
Shrimp F24
Squid F258",Profile
PAEDS,$606.00,Paediatric/Common Allergy Panel (15),"Anchovies (Ikan Bilis) F313
Chicken F83
Cocoa F93
Corn F8
Cow's Milk F2
Egg White F1
Fish (Cod) F3
Gluten F79
Peanut F13
Rice F9
Sesame Seed F10
Shrimp F24
Soya Bean F14
Wheat F4
Yeast F45",Profile
ANT04,$42.00,ANTENATAL PROFILE 04,"Haemoglobin
MCV, MCHC, MCH
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
ANT05,$54.00,ANTENATAL PROFILE 05,"Haemoglobin
MCV, MCHC, MCH
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
HIV Ag/Ab Screen
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
ANT06,$23.00,ANTENATAL PROFILE 06,"Haemoglobin
MCV, MCHC, MCH
HIV Ag/Ab Screen
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
ANT08,$19.00,ANTENATAL PROFILE 08,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ABO Blood Group
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
ANT09,$33.00,ANTENATAL PROFILE 09,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
ANT10,$33.00,ANTENATAL PROFILE 10,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ABO Blood Group
Glucose
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME",Profile
ANT03,$45.00,ANTENATAL PROFILE 03,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
HIV Ag/Ab Screen
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME",Profile
ANT11,$62.00,ANTENATAL PROFILE 11,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
Glucose
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME",Profile
ANT01,$92.00,ANTENATAL PROFILE 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Hb Electrophoresis
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
Glucose
HIV Ag/Ab Screen
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
ANT02,$64.00,ANTENATAL PROFILE 02,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
Glucose
HIV Ag/Ab Screen
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
ANT12,$105.00,ANTENATAL PROFILE 12,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Hb Electrophoresis
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
Glucose
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
ANT07,$234.00,ANTENATAL PROFILE 07,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
Glucose
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Toxoplasma IgG
Chlamydia & Gonorrhoea PCR
Herpes Simplex Virus Type I IgG Antibody
Herpes Simplex Virus Type II IgG Antibody
Urine FEME",Profile
ANT13,$223.00,ANTENATAL PROFILE 13,"Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Toxoplasma IgG Antibody
CMV IgG Antibody
Herpes Simplex Virus Type I IgG Antibody
Herpes Simplex Virus Type II IgG Antibody
Varicella Zoster IgG Antibody",Profile
FTMTR,$170.00,FIRST TRIMESTER TESTING (< 14 WEEKS GESTATION - WITHOUT RISK CALCULATION),"Free Beta HCG
PAPP-A",Profile
FTMT,$213.00,FIRST TRIMESTER TESTING (< 14 WEEKS GESTATION - WITH RISK CALCULATION),"Free Beta HCG
PAPP-A
Risk Report",Profile
PRECLAM,$213.00,PRE-ECLAMPSIA PROFILE (> 10 WEEKS GESTATION - WITH RISK CALCULATION),"Placenta Growth Factor (PLGF)
PAPP-A
Risk Report",Profile
TS01,$138.00,TORCH STUDIES,"Toxoplasma IgG Antibody
Rubella IgG Antibody
CMV IgG Antibody
Herpes Simplex Virus Type I IgG Antibody
Herpes Simplex Virus Type II IgG Antibody",Profile
MMRV,$310.00,"MEASLES, MUMPS, RUBELLA AND VARICELLA","Measles IgG Antibody
Mumps IgG Antibody
Rubella IgG Antibody
Varicella Zoster IgG Antibody",Profile
MCPC,$170.00,MISCARRIAGE PROFILE,"Beta HCG
Anti-Nuclear Antibody
Anti-ds DNA
Lupus Anticoagulant
Thyroid Stimulating Hormone (TSH)
Free T3
Free T4
Urine FEME",Profile
ART01,$62.00,ARTHRITIS PROFILE 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Rheumatoid Factor
Anti-Nuclear Factor (ANF)
Uric Acid
C Reactive Protein",Profile
ART04,$62.00,ARTHRITIS PROFILE 04,"ESR
Rheumatoid Factor
Anti-Nuclear Factor (ANF)
C Reactive Protein
Anti-Streptolysin O Titre (ASOT)",Profile
ART06,$166.00,ARTHRITIS PROFILE 06,"ESR
Rheumatoid Factor
Anti-Nuclear Factor (ANF)
C Reactive Protein
Anti-Streptolysin O Titre (ASOT)
Anti-CCP",Profile
ART02,$79.00,ARTHRITIS PROFILE 02,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Rheumatoid Factor
Anti-Nuclear Factor (ANF)
Uric Acid
C Reactive Protein
Anti-Streptolysin O Titre (ASOT)
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
ART03,$89.00,ARTHRITIS PROFILE 03,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Rheumatoid Factor
Anti-Nuclear Factor (ANF)
Uric Acid
C Reactive Protein
Anti-Streptolysin O Titre (ASOT)
Anti-ds DNA",Profile
ART05,$221.00,ARTHRITIS PROFILE 05,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Rheumatoid Factor
Anti-Nuclear Factor (ANF)
Uric Acid
C Reactive Protein
Anti-Streptolysin O Titre (ASOT)
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Anti-ds DNA
Anti-CCP",Profile
BMP1,$41.00,BONE METABOLISM PROFILE 1,"Calcium
Phosphate
Alkaline Phosphatase
Alkaline Phosphatase, Heat Stable",Profile
BNSVD3,$150.00,BONE STUDY,"Calcium
Phosphate
Alkaline Phosphatase
Total Vitamin D (Immunoassay)",Profile
OSP1N,$166.00,OSTEOPOROSIS PROFILE,"Calcium
Phosphate
Alkaline Phosphatase
Intact Parathyroid Hormone (iPTH)
Total Vitamin D (Immunoassay)",Profile
AI01,$68.00,AUTO-IMMUNE PROFILE 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Rheumatoid Factor
Anti-Nuclear Factor (ANF)
Uric Acid
Anti-ds DNA",Profile
SLEP,$143.00,SLE PROFILE,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Rheumatoid Factor
Anti-Nuclear Factor (ANF)
Anti-ds DNA
Urea
Creatinine
C3 Complement
C4 Complement
Albumin
Urine FEME",Profile
COEL,$652.00,COELIAC DISEASE PROFILE,"Anti-Deaminated Gliadin Peptide IgA
Anti-Deaminated Gliadin Peptide IgG
Anti-Tissue Transglutaminase IgA
Anti-Tissue Transglutaminase IgG",Profile
IQLP1,$117.00,LUPUS PROFILE 1,"Rheumatoid Factor
Anti-Nuclear Factor (ANF)
Anti-ds DNA
C3 Complement
C4 Complement",Profile
IQLP2,$56.00,LUPUS PROFILE 2,"ESR
Anti-Nuclear Factor (ANF)
Anti-ds DNA",Profile
CA02,$150.00,Cancer Screen (Male),"Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
CA19.9
Prostate Specific Antigen (PSA)
Beta HCG",Profile
CA03,$104.00,Cancer Screen (Female),"Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
CA125
Beta HCG",Profile
CA09,$150.00,Cancer Screen (Female),"Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
CA19.9
CA125
Beta HCG",Profile
CA01,$179.00,Cancer Screen (Female),"Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
CA19.9
CA125
Beta HCG
CA15.3",Profile
CA01R,$287.00,Cancer Screen (Female),"Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
CA19.9
CA125
Beta HCG
CA15.3
HE4
ROMA Index",Profile
TMP7,$128.00,Tumour Marker (Female),"Carcinoembryonic Antigen (CEA)
CA19.9
CA125
CA15.3",Profile
TMP13,$234.00,Tumour Marker (Female),"Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
CA19.9
CA125
CA15.3
Squamous Cell Carcinoma Antigen (SCC Ag)",Profile
ROMA,$150.00,Risk of Ovarian Malignancy Algorithm,"HE4
CA125
ROMA Index",Profile
LP01,$21.00,Lipids Profile A,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides",Profile
LP01G,$24.00,Lipids Profile A + Glucose,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Glucose (Fasting)",Profile
NFLIP,$50.00,Lipids Profile Non Fasting,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Glucose (Random)
HbA1c",Profile
LP016,$65.00,Lipids Profile A + Glucose + HBA1C,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Glucose (Fasting)
HbA1c
Urea
Creatinine
Uric Acid
ALT/SGPT
AST/SGOT
eGFR",Profile
LP7,$38.00,Lipids Profile A + Glucose,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Glucose (Fasting)
Urea
Creatinine
ALT/SGPT
AST/SGOT
eGFR",Profile
LP02,$33.00,Lipids Profile A + ALT/SGPT + AST/SGOT,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
GGT
Uric Acid
ALT/SGPT
AST/SGOT",Profile
CR08,$169.00,Cardiac Risk Assessment Profile,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Apolipoprotein A1
Apolipoprotein B
Apolipoprotein B/A1 Ratio
Troponin T, high sensitive",Profile
LPP1,$73.00,Lipids Panel 1,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Urea
Creatinine
Urine Microalbumin/Creatinine Ratio
eGFR",Profile
LPP2,$216.00,Lipids Panel 2,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
NT-proBNP
Lipoprotein (a)",Profile
LPP4,$382.00,Lipids Panel 4,"Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Apolipoprotein A1
Apolipoprotein B
Apolipoprotein B/A1 Ratio
Troponin T, high sensitive
NT-proBNP
Lipoprotein (a)",Profile
LPP5,$144.00,Lipids Panel 5,"Troponin T, high sensitive
Creatine Kinase (CK)
CK-MB",Profile
CP2,$122.00,Cardiac Profile 2,"Troponin I, high sensitive
eGFR
CK-MB",Profile
DFS1,$64.00,Dengue Fever Profile 1,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Dengue IgG & IgM Antibodies",Profile
DFS2,$66.00,Dengue Fever Profile 2,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Dengue IgG & IgM Antibodies",Profile
DFS3,$76.00,Dengue Fever Profile 3,"Dengue IgG & IgM Antibodies
Dengue NS1 Antigen",Profile
DFS4,$82.00,Dengue Fever Profile 4,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Dengue IgG & IgM Antibodies
Dengue NS1 Antigen",Profile
IQFP01,$35.00,Febrile Profile 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Malaria Parasite
Urine FEME",Profile
IQFP03,$56.00,Febrile Profile 03,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Malaria Parasite
Monospot Test
Urine FEME",Profile
IQFP06,$77.00,Febrile Profile 06,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Malaria Parasite
Monospot Test
ALT/SGPT
Urine FEME",Profile
IQFP02,$117.00,Febrile Profile 02,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Malaria Parasite
Monospot Test
Dengue Antibody IgG & IgM
ALT/SGPT
Urine FEME",Profile
FC02,$17.00,FULL BLOOD COUNT 02,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film",Profile
FC01,$21.00,FULL BLOOD COUNT 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR",Profile
CG02,$39.00,COAGULATION PROFILE 02,"Prothrombin Time (PT)
APTT (PTT)",Profile
CG01,$50.00,COAGULATION PROFILE 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Prothrombin Time (PT)
APTT (PTT)",Profile
POP1,$56.00,COAGULATION PROFILE 1,"Prothrombin Time (PT)
APTT (PTT)
Thrombin Clotting Time (TCT)",Profile
POP1N,$46.00,COAGULATION PROFILE 1N,"Prothrombin Time, INR (PT, INR)
APTT (PTT)
Platelet Count",Profile
POP2,$68.00,COAGULATION PROFILE 2,"Prothrombin Time (PT)
APTT (PTT)
Thrombin Clotting Time (TCT)
Platelet Count",Profile
POP3N,$66.00,COAGULATION PROFILE 3N,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Prothrombin Time (PT)
APTT (PTT)
Thrombin Clotting Time (TCT)",Profile
PO1,$99.00,PRE-OP PROFILE 1,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ABO Blood Group
Prothrombin Time (PT)
APTT (PTT)
ESR
Sodium
Potassium
Chloride
Urea
Urine FEME",Profile
PO2,$98.00,PRE-OP PROFILE 2,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ABO Blood Group
Prothrombin Time (PT)
APTT (PTT)
Sodium
Potassium
Chloride
Urea
Creatinine
Urine FEME",Profile
IQDP1,$33.00,Diabetic Profile 1,"Glucose (Fasting)
HbA1c",Profile
IQDP6,$52.00,Diabetic Profile 6,"Glucose (Fasting)
HbA1c
AST/SGOT
ALT/SGPT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Uric Acid",Profile
IQDP2,$88.00,Diabetic Profile 2,"Glucose (Fasting)
HbA1c
AST/SGOT
ALT/SGPT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Uric Acid
Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Urine FEME
Urine Microalbumin/Creatinine Ratio",Profile
IQDP5,$90.00,Diabetic Profile 5,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Glucose (Fasting)
HbA1c
AST/SGOT
ALT/SGPT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Uric Acid
Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Urine FEME
Urine Microalbumin/Creatinine Ratio",Profile
IQDP10,$98.00,Diabetic Profile 10,"Glucose (Fasting)
HbA1c
AST/SGOT
ALT/SGPT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Uric Acid
Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Urine FEME
Urine Microalbumin/Creatinine Ratio
High Sensitive C Reactive Protein (hs-CRP)
Creatine Kinase (CK)",Profile
IQDP14,$128.00,Diabetic Profile 14,"Glucose (Fasting)
HbA1c
AST/SGOT
ALT/SGPT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Uric Acid
Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Urine FEME
Urine Microalbumin/Creatinine Ratio
High Sensitive C Reactive Protein (hs-CRP)
Creatine Kinase (CK)
Insulin",Profile
HY02,$49.00,Hypertension Profile 02,"Glucose (Fasting)
Uric Acid
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Sodium
Potassium
Chloride
Urea
Creatinine
Urine FEME",Profile
HY03,$58.00,Hypertension Profile 03,"Glucose (Fasting)
HbA1c
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Sodium
Potassium
Chloride
Creatinine
Urine FEME",Profile
HY01,$53.00,Hypertension Profile 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Glucose (Fasting)
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Uric Acid
Sodium
Potassium
Chloride
Urea
Creatinine
Urine FEME",Profile
HY04,$70.00,Hypertension Profile 04,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Glucose (Fasting)
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Uric Acid
Sodium
Potassium
Chloride
Urea
Creatinine
Urine FEME
Urine Microalbumin/Creatinine Ratio",Profile
DUX02,$111.00,Drug Screen 02,"Phencyclidine
Cocaine
Amphetamines
Cannabinol
Opiates",Profile
DUX01,$133.00,Drug Screen 01,"Phencyclidine
Cocaine
Amphetamines
Cannabinol
Opiates
Blood Alcohol",Profile
DUX03,$159.00,Drug Screen 03,"Phencyclidine
Cocaine
Amphetamines
Cannabinol
Opiates
Barbiturates
Benzodiazepines",Profile
DS10,$191.00,Drug Screen 10,"Phencyclidine
Cocaine
Amphetamines
Cannabinol
Opiates
Barbiturates
Benzodiazepines
Methamphetamines
Methadone
Tricyclic Antidepressants (TCA)",Profile
GFU,$50.00,GENERAL FOLLOW-UP,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Bicarbonate
Uric Acid
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT",Profile
IQHS1,$59.00,HEALTH SCREENING 1,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Glucose (Fasting)
Urea
Creatinine
eGFR
Calcium
Uric Acid
AST/SGOT
ALT/SGPT
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Urine FEME",Profile
